word,frequency,dataset
finger,0.00016247136481259143,childes
hurt,0.0002671280635826599,childes
don't,0.004912614608026461,childes
bird,0.0001890001364981695,childes
doctor,0.000100594046561675,childes
party,0.00016170744730332085,childes
morning,0.00025601653617508797,childes
out,0.0026745446470025735,childes
cow,0.0002645237993465102,childes
mad,5.896054230642877e-05,childes
crayon,0.0002555304068510067,childes
stand,0.00022466119477184578,childes
draw,0.00025952361201310285,childes
pool,5.993280095459132e-05,childes
washing,7.715566843632787e-05,childes
tape,0.00026980177486510693,childes
brother,0.0002596625061056975,childes
milk,0.00038404216602420623,childes
home,0.0005612363046518306,childes
need,0.0007943353155488012,childes
girl,0.0006882549523296376,childes
dryer,4.75712267136675e-06,childes
do,0.007897275040269738,childes
who,0.0011087915411830882,childes
butterfly,7.816265060763908e-05,childes
sauce,2.895941830598445e-05,childes
put,0.0035053396618574704,childes
donkey,3.7431957954258075e-05,childes
butter,0.00012410187173331945,childes
rock,6.85442346954596e-05,childes
hamburger,3.180674720417477e-05,childes
bottle,0.00020059779322982273,childes
stick,0.00020476461600766224,childes
why,0.00146231173035962,childes
with,0.0038410814071818873,childes
snow,8.014189142711285e-05,childes
face,0.00028823996565704665,childes
ant,8.889221926057578e-06,childes
black,0.00026115561760109,childes
medicine,4.736288557477553e-05,childes
can,0.004932754251452684,childes
buttocks,2.4306466204063686e-07,childes
shh,5.9759183338848004e-05,childes
scissors,4.191129244043553e-05,childes
gonna,0.002313767241487971,childes
scared,8.7017149010548e-05,childes
owl,6.434268839447145e-05,childes
chase,1.888959659287235e-05,childes
fit,0.0002320573052025109,childes
present,7.75029036678145e-05,childes
house,0.0008636781912766801,childes
yes,0.0036490256006466355,childes
jeans,1.0625398083490697e-05,childes
owie,7.187769291773119e-06,childes
bump,6.173842415832177e-05,childes
gum,3.368181745420254e-05,childes
slow,3.538327008848699e-05,childes
windy,1.628533235672267e-05,childes
wind,7.017624028344673e-05,childes
big,0.0014945698833647273,childes
noisy,5.399507849617005e-05,childes
bathroom,9.45868770569564e-05,childes
bed,0.0005231445997577478,childes
bee,7.000262266770342e-05,childes
