word,mlu,dataset
cute,18.764434699499635,unified
run,19.115196945603277,unified
fast,17.694654929897002,unified
table,23.148431721763004,unified
sauce,16.80684308107197,unified
bus,18.101685031683434,unified
watch,15.387492195812559,unified
tomorrow,8.509573015577484,unified
nice,10.620947218521751,unified
slow,20.410631159572237,unified
clean,15.045351886929915,unified
dinner,16.33321007626531,unified
room,17.15134492711441,unified
happy,14.72555171307355,unified
bath,16.217373608163502,unified
towel,13.442650807136788,unified
shower,14.536717144813942,unified
throw,21.09937285834357,unified
fix,20.570540255253814,unified
pretty,12.679024211634399,unified
school,18.72106946050752,unified
choo,18.926234903916754,unified
help,14.115456420971642,unified
rock,22.81872292066198,unified
nuts,13.606545662426754,unified
better,15.683373614467872,unified
drink,14.917464132362209,unified
boy,14.281195052522861,unified
under,23.382519124475913,unified
shake,19.782068062827225,unified
sun,24.154977129165758,unified
buy,14.702132447121542,unified
quiet,21.836253894080997,unified
hello,8.12419855222337,unified
star,16.799029092865894,unified
brother,16.104173818068343,unified
bathroom,10.179951872462023,unified
truck,18.839435836865142,unified
sweater,9.83935907970419,unified
lunch,12.421401091527244,unified
chin,21.324547284717422,unified
story,17.936271526593792,unified
walk,18.04853989381046,unified
later,21.89457589122542,unified
kick,14.732592769074989,unified
listen,14.429102363034911,unified
chase,24.257435867469177,unified
nose,19.51651395695717,unified
tooth,16.850868725868725,unified
bottle,16.442667058017808,unified
doll,17.343671660933946,unified
gas,20.49744438315867,unified
gentle,23.765211664410376,unified
lion,21.622321981673224,unified
leg,23.393563964992538,unified
finish,17.233447369033488,unified
fit,24.494048230916306,unified
popcorn,10.421970357454228,unified
corn,23.07261597214422,unified
soda,17.098211579266444,unified
penny,22.500279589934763,unified
hug,18.832900432900434,unified
stay,12.34374535177748,unified
pull,16.0148149402323,unified
comb,26.812887544974355,unified
taste,21.09670574696109,unified
morning,15.653782721878184,unified
salt,26.634742900037534,unified
water,23.68113183362174,unified
mad,23.377109004251466,unified
light,23.140377763602135,unified
blow,17.87158885118961,unified
sink,23.34437356885836,unified
lady,18.60117742316386,unified
game,19.351384619814425,unified
drop,18.810613101484034,unified
hurry,11.086378737541528,unified
close,19.74895163870067,unified
open,21.931475659256186,unified
living,21.914395344556613,unified
paper,20.705930165998854,unified
food,18.660916960564283,unified
meat,20.216047091265843,unified
chicken,12.520801437795381,unified
hide,17.257047157922663,unified
head,19.237594065928498,unified
scared,8.193174213696185,unified
diaper,12.475533249686324,unified
tree,22.364127770076813,unified
bring,18.23119476377168,unified
snow,23.50592746022652,unified
candy,13.082152432018384,unified
owl,25.352194951828764,unified
sick,15.4285192845845,unified
eye,21.497269121342388,unified
yard,23.501112117966883,unified
green,25.182589381288803,unified
zoo,18.334008976400753,unified
fall,23.248608391876846,unified
feed,18.903998274126277,unified
street,20.49372752696764,unified
coat,23.157635865183035,unified
train,21.549000561432276,unified
rain,21.092140851711353,unified
bib,24.13396375098503,unified
picture,18.961466078425325,unified
hurt,9.96074569439355,unified
glass,19.633164463116273,unified
hair,20.282652502076964,unified
stick,16.163478951154772,unified
catch,15.351603161344213,unified
present,28.465250798584133,unified
tape,16.052342459023716,unified
doctor,14.603040599712754,unified
egg,20.51130699839354,unified
nap,18.340826667991454,unified
boat,20.03667547597217,unified
foot,20.773255333412926,unified
knee,22.07859127161932,unified
white,23.990205966340604,unified
chair,22.01924835298807,unified
cup,25.65505221312448,unified
drawer,18.921231422505308,unified
draw,26.205375918458227,unified
mouth,20.625944986690328,unified
keys,15.080782038887099,unified
bump,14.514370408557804,unified
plate,23.268397493285587,unified
dirty,13.854547856529493,unified
break,17.61972183612332,unified
breakfast,16.61460034923675,unified
tractor,19.836021505376344,unified
wolf,17.882236516575954,unified
swim,17.32303108202851,unified
fish,19.78913430985042,unified
empty,17.717781155015196,unified
