word,mlu,dataset
toy,7.781328751431844,childes
rocking,8.9,childes
hair,7.912251585173837,childes
rock,8.658119658119658,childes
chair,8.082100311100994,childes
look,6.556402877697842,childes
see,7.614666711320987,childes
table,9.20249776984835,childes
under,7.855509254772749,childes
wind,8.52247679814385,childes
window,8.771324033844042,childes
couch,9.390652557319225,childes
ouch,7.0779235340284785,childes
thank,4.242212674543501,childes
pen,7.293671944400899,childes
open,7.152452937820878,childes
drop,7.894981561648228,childes
ant,7.814428101232869,childes
another,7.485652327399264,childes
empty,8.525390625,childes
push,7.582635342185904,childes
coat,8.17259905977166,childes
too,8.0209500254601,childes
bad,8.586914440572977,childes
orange,6.661769672407971,childes
hose,8.001063264221159,childes
bus,8.465293107677214,childes
later,8.053125,childes
big,7.793087504334759,childes
like,8.644618523898458,childes
pick,9.013338013338013,childes
gonna,8.665039983596474,childes
good,5.802447686450854,childes
cookie,6.791093319989993,childes
cook,7.363179347826087,childes
touch,7.268185654008438,childes
stove,10.055415617128464,childes
foot,7.697643979057592,childes
girl,6.949133103960062,childes
hand,8.36043274482856,childes
puzzle,7.458693563880884,childes
home,9.771209213051824,childes
sing,5.740931525228809,childes
fix,7.48936170212766,childes
try,8.996097970944891,childes
horse,7.172711571675302,childes
run,7.746645239051828,childes
fast,8.260939381774389,childes
stop,6.738540442354952,childes
head,7.374159674174395,childes
coffee,6.751915708812261,childes
off,8.266928831766737,childes
give,8.398463617611494,childes
bowl,8.82349537037037,childes
owl,7.753078090740428,childes
pencil,6.857142857142857,childes
bring,9.41826998279368,childes
cup,7.343112492714202,childes
high,7.363389830508474,childes
cheese,7.851305334846765,childes
mouth,8.396222172250956,childes
paper,8.581502252459318,childes
taste,7.187808896210873,childes
nice,6.786252290154034,childes
door,7.9559686888454015,childes
need,8.236107693064922,childes
cracker,6.801587301587301,childes
tree,8.768431748899175,childes
nuts,6.6287703016241295,childes
climb,9.14881380301941,childes
wash,8.971598932998587,childes
sink,7.751578947368421,childes
wait,7.18471863706763,childes
hard,8.088090095649491,childes
peekaboo,4.404356705241661,childes
eat,7.615381082860073,childes
fish,6.949864831653969,childes
kitty,5.792346089850249,childes
sandbox,8.594202898550725,childes
clock,8.004560530679933,childes
butter,7.366761274046042,childes
peanut,7.8798751950078,childes
basket,8.506345177664974,childes
brown,7.918811881188119,childes
hamburger,7.203947368421052,childes
story,9.725091288471571,childes
sheep,5.975728155339806,childes
spoon,7.399324739103744,childes
snow,7.660805860805861,childes
snowman,7.105263157894737,childes
hold,8.139283599763173,childes
star,8.990845743954091,childes
eye,7.153096729297147,childes
boots,7.407114624505929,childes
mittens,11.5,childes
build,7.96500354693781,childes
shopping,7.234505862646566,childes
street,10.11965811965812,childes
police,7.099406528189911,childes
turkey,5.2,childes
cow,6.446516853932584,childes
duck,6.684154365996799,childes
quack,4.0,childes
farm,7.820021299254526,childes
arm,8.57923320094026,childes
pig,6.394016370307649,childes
donkey,7.305555555555555,childes
keys,6.2761982128350935,childes
apple,7.012401818933443,childes
elephant,5.502411575562701,childes
animal,9.062011371712865,childes
bunny,5.996556473829201,childes
bear,7.245701470221779,childes
rooster,7.555555555555555,childes
careful,6.312031952071893,childes
watch,6.6682784796963555,childes
chin,8.105960264900663,childes
boy,7.490460815967126,childes
truck,6.955200443377056,childes
button,7.418009478672986,childes
store,10.133885438233264,childes
giraffe,6.602564102564102,childes
boat,7.6011877569666515,childes
cat,7.3931144166900555,childes
sleepy,7.3841059602649,childes
flower,7.166666666666667,childes
pull,8.296122546673049,childes
splash,5.717149220489977,childes
people,9.577530176415971,childes
bug,7.065274151436031,childes
popcorn,9.115789473684211,childes
corn,8.859346642468239,childes
buy,9.607438016528926,childes
outside,8.398538409245411,childes
shirt,8.371716444764303,childes
medicine,6.992537313432836,childes
sick,6.72,childes
pants,7.4508670520231215,childes
diaper,6.75,childes
pretty,6.6830902640914465,childes
night,9.026707088205573,childes
bib,6.676470588235294,childes
mine,5.560939483707152,childes
bump,7.209030100334449,childes
doctor,7.769581056466302,childes
cut,7.477478510028654,childes
light,7.9319608702000295,childes
crib,6.102126044039483,childes
wake,7.610628019323672,childes
hear,8.139614453809564,childes
write,8.258367586611861,childes
draw,7.286538461538462,childes
lady,7.739657631954351,childes
finger,8.127566622979467,childes
drink,7.256747194986354,childes
cake,7.703343812517862,childes
bite,7.1117877337973034,childes
thirsty,6.380952380952381,childes
milk,7.349391544348262,childes
house,8.706301515554374,childes
yard,10.638613861386139,childes
tummy,7.622754491017964,childes
full,8.497346840328028,childes
inside,8.572675911658962,childes
mad,9.059118955373798,childes
wipe,7.3861834654586636,childes
dirty,6.638832315003395,childes
hurt,7.038961038961039,childes
jacket,7.364705882352941,childes
call,7.832221228589117,childes
soup,6.270056497175141,childes
choo,8.099711214503449,childes
airplane,7.413447782546495,childes
tongue,7.467432950191571,childes
plate,7.942252510760402,childes
today,8.562154927221014,childes
friend,7.941517202875288,childes
hurry,8.1125,childes
tomorrow,8.278497409326425,childes
stick,8.881370091896407,childes
lips,7.206896551724138,childes
dry,7.866541353383458,childes
carry,9.051383399209486,childes
bath,8.780056800252446,childes
bat,8.717845456833627,childes
pillow,6.868556701030927,childes
hide,7.320540540540541,childes
yellow,7.6693729702722955,childes
sticky,7.385416666666667,childes
fall,7.745224510047135,childes
sandwich,8.208791208791208,childes
feed,8.064039408866995,childes
bottle,7.042786932639491,childes
hungry,9.17624386825508,childes
hammer,6.553658536585366,childes
talk,8.122536539368223,childes
quiet,7.404606393949811,childes
glass,7.615197568389058,childes
glasses,6.00709219858156,childes
hello,3.3324105621805793,childes
happy,7.703665283540802,childes
listen,7.746104491292392,childes
doll,7.766117647058824,childes
crayon,7.822688386265089,childes
cereal,6.623824451410658,childes
break,8.115494710640945,childes
breakfast,8.918686473807663,childes
stuck,6.984490112446685,childes
game,8.62853385930309,childes
turtle,8.151821862348179,childes
dance,7.265388496468214,childes
soft,5.179435483870968,childes
blow,6.4736168851934766,childes
food,8.862573099415204,childes
chocolate,8.281968535699878,childes
slow,7.348816827344435,childes
bedroom,8.03883495145631,childes
walk,8.917857448446993,childes
nail,7.624548736462094,childes
scissors,6.5477031802120145,childes
bird,6.964763809816895,childes
squirrel,6.809523809523809,childes
spill,7.282194848824188,childes
dress,7.912873862158648,childes
toe,6.4606281292671826,childes
dish,8.2987012987013,childes
