Index	age	fit_prop	fit_se	aoa	language	form	measure	lexical_category	uni_lemma	words	prop	word_bytes	CleanedWord	CleanedSingle
64	19	0.0253893398000236	0.0828568152167048	30.6206851595535	English (American)	WS	produces	function_words	1SG.REFL	myself	0.0192982456140351	6d 79 73 65 6c 66	myself	myself
65	20	0.0344293201032643	0.0736255636294867	30.6206851595535	English (American)	WS	produces	function_words	1SG.REFL	myself	0.0186219739292365	6d 79 73 65 6c 66	myself	myself
66	21	0.0465343400411603	0.0646694042193123	30.6206851595535	English (American)	WS	produces	function_words	1SG.REFL	myself	0.0245901639344262	6d 79 73 65 6c 66	myself	myself
67	22	0.0626193578539846	0.0561201968529944	30.6206851595535	English (American)	WS	produces	function_words	1SG.REFL	myself	0.0572687224669604	6d 79 73 65 6c 66	myself	myself
68	23	0.0837757876196994	0.0481949953623161	30.6206851595535	English (American)	WS	produces	function_words	1SG.REFL	myself	0.114893617021277	6d 79 73 65 6c 66	myself	myself
69	24	0.111231896357674	0.041255000806512	30.6206851595535	English (American)	WS	produces	function_words	1SG.REFL	myself	0.125888324873096	6d 79 73 65 6c 66	myself	myself
70	25	0.14624995669058	0.0358765805997973	30.6206851595535	English (American)	WS	produces	function_words	1SG.REFL	myself	0.149273447820343	6d 79 73 65 6c 66	myself	myself
71	26	0.189936417356636	0.0328362514599184	30.6206851595535	English (American)	WS	produces	function_words	1SG.REFL	myself	0.204597701149425	6d 79 73 65 6c 66	myself	myself
72	27	0.24295885982986	0.0327909471464464	30.6206851595535	English (American)	WS	produces	function_words	1SG.REFL	myself	0.221606648199446	6d 79 73 65 6c 66	myself	myself
73	28	0.305206184598886	0.0357520551856797	30.6206851595535	English (American)	WS	produces	function_words	1SG.REFL	myself	0.384696016771488	6d 79 73 65 6c 66	myself	myself
74	29	0.375491367918583	0.0410744338446137	30.6206851595535	English (American)	WS	produces	function_words	1SG.REFL	myself	0.325641025641026	6d 79 73 65 6c 66	myself	myself
75	30	0.451445552332408	0.0479785911811508	30.6206851595535	English (American)	WS	produces	function_words	1SG.REFL	myself	0.380891719745223	6d 79 73 65 6c 66	myself	myself
76	16	0.0792560717606353	0.0569819417093533	24.2997162753016	English (American)	WS	produces	function_words	2SG	you	0.0774193548387097	79 6f 75	you	you
77	17	0.103678336895427	0.0511592274925828	24.2997162753016	English (American)	WS	produces	function_words	2SG	you	0.074235807860262	79 6f 75	you	you
78	18	0.134526636751613	0.0455397749834406	24.2997162753016	English (American)	WS	produces	function_words	2SG	you	0.131045241809672	79 6f 75	you	you
79	19	0.172784141593694	0.0402088960888238	24.2997162753016	English (American)	WS	produces	function_words	2SG	you	0.189473684210526	79 6f 75	you	you
80	20	0.21916639872365	0.0352975808669108	24.2997162753016	English (American)	WS	produces	function_words	2SG	you	0.21415270018622	79 6f 75	you	you
