word,lexical_class,aoa,n_chars,word_count,mlu,frequency,log_frequency,concreteness
bottle,nouns,19.93453435151,6,2151.0,6.91957229195723,0.00028640846054054373,-8.15809158232059,4.91
box,nouns,23.06474765869,3,3482.0,7.718839747271683,0.00046363284965233526,-7.676417591260187,4.9
boy,other,24.2067480102759,3,7497.0,6.142990529545151,0.0009982353457333594,-6.9095214920852595,4.76
bread,nouns,22.4550098377715,5,1946.0,7.093525179856115,0.00025911244268335567,-8.258248448842371,4.92
break,predicates,25.4815362856787,5,1379.0,7.416243654822335,0.00018361565182957218,-8.60266583379502,3.71
breakfast,other,24.693316899527,9,1412.0,7.292492917847025,0.00018800964494804635,-8.579017293535134,4.43
bring,predicates,27.0951235089174,5,3011.0,8.984390567917636,0.000400918584234113,-7.821752183106588,2.55
broken,predicates,24.1462139068078,6,1053.0,6.7578347578347575,0.0001402083258713122,-8.872381199454345,4.11
brother,other,27.5466361747417,7,1147.0,9.58151700087184,0.00015272454869363255,-8.78687459445895,4.43
brown,predicates,26.8812688464487,5,1234.0,7.02998379254457,0.00016430871236960992,-8.713763507122989,4.48
brush,nouns,22.6968533631034,5,1110.0,6.532432432432432,0.00014779795034867667,-8.819664417281942,4.54
build,predicates,27.2443718265135,5,1466.0,7.689631650750341,0.00019519981550554955,-8.541486829141725,3.71
bus,nouns,21.1884585842671,3,1784.0,8.324551569506726,0.0002375419310108461,-8.345166398448367,4.9
buy,predicates,27.9435609551567,3,1876.0,9.365138592750531,0.0002497918512199256,-8.29488258202215,3.35
cake,nouns,22.4910218005725,4,1893.0,9.310618066561014,0.0002520554234324729,-8.285861560378999,4.81
call,other,24.0163695564331,4,2859.0,8.096537250786989,0.00038067958562780773,-7.87355251926601,4.0
camera,nouns,26.2674480016002,6,350.0,6.102857142857143,4.66029573171503e-05,-9.973846557104862,5.0
can,function_words,27.8023164404631,3,56402.0,7.740133328605369,0.007509999996005461,-4.89151981373799,4.55
can,nouns,28.8215920474256,3,56402.0,7.740133328605369,0.007509999996005461,-4.89151981373799,4.55
car,nouns,17.379527404621,3,6306.0,7.598636219473517,0.000839652139548428,-7.082522871483316,4.89
careful,predicates,26.5627041631833,7,2113.0,4.562707051585424,0.0002813487108889674,-8.175915693972264,1.86
carry,predicates,26.0094804825489,5,570.0,8.928070175438597,7.589624477364477e-05,-9.486143350759725,4.04
cat,nouns,17.89159034468,3,3587.0,7.119040981321438,0.0004776137368474804,-7.646708234056039,4.86
catch,predicates,25.7703846493864,5,1433.0,6.845080251221214,0.00019080582238707538,-8.56425428376015,4.11
chair,nouns,21.4361812539187,5,3386.0,7.235676314235086,0.00045085032421677407,-7.704375148895241,4.58
cheese,nouns,18.408463930326,6,2642.0,7.384178652535957,0.00035178575209117457,-7.952488226506051,4.7
chocolate,nouns,24.9475510474547,9,1452.0,9.422865013774103,0.00019333569721286352,-8.55108251620358,4.72
church,other,29.2871504739294,6,384.0,9.036458333333334,5.11301017422449e-05,-9.881137159000595,4.9
clean,predicates,24.37088833361425,5,2069.0,7.391493475108748,0.0002754900533976685,-8.196959033842779,3.07
climb,predicates,26.0395780408829,5,592.0,8.403716216216216,7.882557351929422e-05,-9.448273076704316,4.11
clock,nouns,24.4358932453702,5,1036.0,6.276061776061776,0.00013794475365876488,-8.888657288768893,5.0
close,predicates,24.8565125925163,5,2513.0,6.619976124154397,0.00033460923353713915,-8.002547174044729,3.2
coat,nouns,23.8168256991521,4,613.0,7.083197389885807,8.162175095832325e-05,-9.413414775652111,4.97
coffee,nouns,25.2745437383205,6,1614.0,6.143122676579925,0.00021490620888537312,-8.445308862758427,4.81
cold,predicates,21.8248688153561,4,2008.0,6.625,0.0002673678236938223,-8.226885230776702,3.85
cook,predicates,25.669046044786,4,1356.0,7.464601769911504,0.0001805531717773023,-8.619485243087981,4.32
cover,predicates,28.6322660446323,5,671.0,7.916542473919523,8.934452674230815e-05,-9.32301057461664,4.23
cow,nouns,20.4574991230105,3,2137.0,6.325222274216191,0.0002845443422478577,-8.164621456269174,4.96
cry,predicates,23.7650429128228,3,718.0,6.422005571030641,9.560263815346833e-05,-9.255310142540097,4.0
cup,nouns,20.1554650985948,3,2741.0,6.933600875592849,0.0003649677314465971,-7.915701615285536,5.0
cut,predicates,26.8809721994294,3,2185.0,8.48649885583524,0.0002909356049656383,-8.14240860405863,4.55
dance,predicates,23.7763322304933,5,778.0,6.5218508997429305,0.0001035917165506941,-9.17505318740993,4.32
dark,predicates,26.4579276182313,4,601.0,7.995008319467554,8.002393527887808e-05,-9.433184777053114,4.29
day,other,28.5143836803222,3,4178.0,10.380804212541886,0.0005563061590601542,-7.4941917694718105,3.92
did,function_words,28.5278296508047,3,35229.0,6.852507877033126,0.004690787380931109,-5.36215482555513,2.45
dinner,other,24.9486475043681,6,1900.0,7.951052631578947,0.0002529874825788159,-8.28217054643379,4.5
dirty,predicates,23.1487481298352,5,1310.0,7.03587786259542,0.00017442821167276256,-8.653997295393124,4.23
do,function_words,25.4394684041754,2,87196.0,7.458037065920455,0.011610261332074965,-4.455865974303016,2.46
doctor,other,25.342381351781,6,989.0,8.41051567239636,0.0001316866422476047,-8.93508537996561,4.69
doll,nouns,23.3785202609282,4,1647.0,8.891317547055252,0.00021930020200384726,-8.425068981410682,5.0
door,nouns,20.9574807548207,4,2991.0,8.37144767636242,0.0003982555581017044,-7.828416652958373,4.81
down,function_words,20.7889699742522,4,17261.0,7.582063611609988,0.0022983247035752324,-6.075574811201633,3.52
draw,predicates,25.8720391888922,4,1730.0,7.114450867052023,0.0002303517604533429,-8.375903024096496,3.97
dress,nouns,26.1071771792816,5,877.0,8.65108323831243,0.00011677369590611662,-9.055272719216138,4.93
drink,nouns,22.4913513109192,5,3427.0,7.304056025678436,0.00045630952778821164,-7.692339189713713,4.76
drink,predicates,22.5670893354893,5,3427.0,7.304056025678436,0.00045630952778821164,-7.692339189713713,4.76
drive,predicates,25.7406678612995,5,1155.0,8.146320346320346,0.000153789759146596,-8.779924088632427,3.86
drop,predicates,26.5713736500666,4,549.0,7.069216757741348,7.310006733461576e-05,-9.523681270078791,4.21
dry,predicates,27.1700699947532,3,842.0,7.421615201900238,0.00011211340017440158,-9.095999697345995,3.77
ear,nouns,18.6732874535407,3,807.0,6.759603469640644,0.00010745310444268656,-9.138456043318373,5.0
eat,predicates,20.6668879743474,3,14605.0,7.45128380691544,0.0019446748331913718,-6.24266049676648,4.44
egg,nouns,22.489956783549,3,1608.0,8.950248756218905,0.00021410730104565051,-8.44903326184941,4.97
elephant,nouns,22.9180115692268,8,1506.0,6.8107569721115535,0.00020052586777036672,-8.514567303228482,5.0
empty,predicates,26.7915534027924,5,404.0,5.9504950495049505,5.379312787465349e-05,-9.830364833627172,3.43
eye,nouns,17.2325669931723,3,1051.0,6.71836346336822,0.00013994202325807133,-8.874282340711371,4.9
face,nouns,24.0910550727058,4,2235.0,7.990604026845638,0.00029759317029665977,-8.119783204540653,4.87
fall,predicates,23.9403203070402,4,2308.0,7.25736568457539,0.00030731321567995114,-8.087643083960332,4.04
farm,other,27.8801623317194,4,1032.0,8.527131782945736,0.00013741214843228318,-8.892525765546814,4.59
fast,predicates,25.9789808388282,4,1154.0,7.844887348353553,0.00015365660783997557,-8.780790264520277,3.32
feed,predicates,27.4459643218859,4,1435.0,7.684320557491289,0.00019107212500031623,-8.5628595833946,4.17
find,predicates,25.9918874710153,4,4841.0,8.043792604833712,0.0006445854753494988,-7.346903121648627,2.63
finger,nouns,22.4056843921418,6,1115.0,7.502242152466367,0.00014846370688177882,-8.815170027694103,5.0
finish,predicates,27.7741292565062,6,2050.0,7.88780487804878,0.00027296017857188036,-8.206184639455868,2.89
first,predicates,28.7601298578969,5,5269.0,9.574682102865818,0.0007015742345830427,-7.262183841379036,2.76
fish,nouns,21.588326472795103,4,2184.0,6.926739926739927,0.0002908024536590179,-8.142866374723527,5.0
fit,predicates,28.9751267291611,3,1673.0,7.222355050806934,0.00022276213597597844,-8.409406010601497,2.7
fix,predicates,25.5530030398093,3,1882.0,6.83740701381509,0.00025059075905964817,-8.291689391442997,2.93
flower,nouns,21.1521382275505,6,620.0,6.348387096774194,8.255381010466624e-05,-9.402060233549184,5.0
food,nouns,23.8541416630887,4,5307.0,9.1856039193518,0.000706633984234619,-7.254997728760427,4.8
foot,nouns,21.3562701402417,4,2218.0,6.520739404869252,0.0002953295980841125,-8.12741854367801,4.9
for,function_words,29.0754948179967,3,33480.0,9.099074074074077,0.0044579057456519775,-5.4130761869849096,1.63
friend,other,26.7382568782902,6,1509.0,8.109343936381709,0.00020092532169022802,-8.512577252820472,3.07
frog,nouns,22.6059122658708,4,1354.0,6.591580502215657,0.00018028686916406146,-8.620961258116102,5.0
full,predicates,27.491301909306,4,1006.0,7.852882703777336,0.000133950214460152,-8.918042360928638,3.59
game,nouns,26.6212124902054,4,1680.0,8.533333333333333,0.00022369419512232143,-8.405230639191018,4.5
garden,nouns,28.9177220064879,6,483.0,10.10351966873706,6.431208109766742e-05,-9.65176305793575,4.73
